epoch,loss,val_loss
0,0.0030578922014683485,0.00016328612400684506
1,0.000946091313380748,0.00011848234134959057
2,0.00017024307453539222,0.00013173618935979903
3,7.10718086338602e-05,0.00010157919314224273
4,5.842527752975002e-05,9.516323189018294e-05
5,5.573972157435492e-05,9.715755004435778e-05
6,5.51357697986532e-05,9.216440230375156e-05
7,5.1839888328686357e-05,8.94846671144478e-05
8,4.993663606001064e-05,0.00011523780267452821
9,4.712742520496249e-05,7.939781062304974e-05
10,5.245765714789741e-05,0.0001115622217184864
11,4.50019069830887e-05,9.171531564788893e-05
12,4.237141911289655e-05,8.38966661831364e-05
13,5.1947718020528555e-05,9.12530449568294e-05
14,4.037927647004835e-05,0.00012087175127817318
15,4.4550219172379e-05,7.857026503188536e-05
16,4.1454750316916034e-05,9.650215361034498e-05
17,4.159980016993359e-05,9.589548426447436e-05
18,4.0364611777476966e-05,7.398954767268151e-05
19,4.3781197746284306e-05,9.068997314898297e-05
20,5.011482062400319e-05,8.528844773536548e-05
21,3.653840030892752e-05,7.135753548936918e-05
22,3.6962061130907387e-05,7.001980702625588e-05
23,3.6523233575280756e-05,8.875048661138862e-05
24,3.849682616419159e-05,7.334819383686408e-05
25,3.47924287780188e-05,6.399833364412189e-05
26,3.55115371348802e-05,6.70274457661435e-05
27,3.364111398695968e-05,6.207107799127698e-05
28,3.429289790801704e-05,6.48029672447592e-05
29,3.5836153983836994e-05,6.800027040299028e-05
30,3.491708048386499e-05,6.336184742394835e-05
31,3.389252015040256e-05,6.431692600017413e-05
32,3.2760050089564174e-05,5.707520540454425e-05
33,3.433471647440456e-05,5.5353175412165e-05
34,3.120029577985406e-05,6.0953105275984854e-05
35,3.105155337834731e-05,5.097450048197061e-05
36,2.8612534151761793e-05,5.476565638673492e-05
37,2.9194503440521657e-05,5.9733163652708754e-05
38,3.1741292332299054e-05,5.254703137325123e-05
39,3.8275909901130944e-05,5.351813160814345e-05
40,3.413460581214167e-05,5.212296673562378e-05
41,2.741811294981744e-05,8.289406105177477e-05
42,2.952567592728883e-05,5.560743738897145e-05
43,3.0744358809897676e-05,4.6385110181290656e-05
44,2.8288706744206138e-05,4.565452763927169e-05
45,2.6512114345678128e-05,5.865514322067611e-05
46,2.7208487153984606e-05,4.520151560427621e-05
47,2.585396396170836e-05,4.676812750403769e-05
48,2.5617671781219542e-05,4.771129533764906e-05
49,2.424945887469221e-05,4.416826050146483e-05
50,2.6051608074340038e-05,5.1271017582621425e-05
51,2.5717772587086074e-05,4.2882966226898134e-05
52,2.4383756681345403e-05,4.515741966315545e-05
53,2.4089977159746923e-05,5.645511919283308e-05
54,2.7380008759791963e-05,4.1237122786697e-05
55,2.602119820949156e-05,4.114424154977314e-05
56,2.435893111396581e-05,4.116401760256849e-05
57,2.4328031940967776e-05,4.380611426313408e-05
58,2.298338949913159e-05,4.16881957789883e-05
59,2.603980465210043e-05,5.1791306759696454e-05
60,2.266302726638969e-05,4.031398202641867e-05
61,2.2036458176444285e-05,4.1232502553611994e-05
62,2.228930316050537e-05,4.531878948910162e-05
63,2.212619256170001e-05,3.782689236686565e-05
64,2.2370441001839936e-05,4.2585725168464705e-05
65,2.789935933833476e-05,3.792253482970409e-05
66,2.303176006535068e-05,3.655152613646351e-05
67,2.3424168830388226e-05,3.7059584428789094e-05
68,2.3286826035473496e-05,4.269158671377227e-05
69,2.2093519874033518e-05,3.674444087664597e-05
70,2.137753472197801e-05,3.986286174040288e-05
71,2.1348241716623306e-05,3.8158301322255284e-05
72,2.054932338069193e-05,3.7476122088264674e-05
73,2.1354970158427022e-05,3.6663335777120665e-05
74,2.031227995757945e-05,4.030600393889472e-05
75,2.005033275054302e-05,3.468009163043462e-05
76,2.0915589630021714e-05,3.431220102356747e-05
77,2.0860315999016166e-05,3.531458423822187e-05
78,2.0969588149455376e-05,3.6110774090047926e-05
79,2.085227424686309e-05,3.488400761852972e-05
80,1.9818848159047775e-05,3.440017098910175e-05
81,2.1576834114966914e-05,3.4263408451806754e-05
82,2.015643440245185e-05,3.3861717383842915e-05
83,2.079587648040615e-05,5.8456182159716263e-05
84,2.5774335881578736e-05,3.4863551263697445e-05
85,2.471872721798718e-05,3.368926263647154e-05
86,2.107733416778501e-05,3.2685144105926156e-05
87,1.9115250324830413e-05,3.297831062809564e-05
88,2.115224560839124e-05,3.821182326646522e-05
89,2.0023111574118957e-05,3.2200110581470653e-05
90,2.0295374270062894e-05,3.1902105547487736e-05
91,1.9362738385098055e-05,3.1642121030017734e-05
92,2.0584757294273004e-05,3.2671083317836747e-05
93,2.306761780346278e-05,3.534485585987568e-05
94,2.485645018168725e-05,3.765933433896862e-05
95,1.8419912521494552e-05,3.1947602110449225e-05
96,1.8919459762400948e-05,3.366244709468447e-05
97,1.7915172065841034e-05,3.3856966183520854e-05
98,1.9881981643266045e-05,3.1854320695856586e-05
99,1.849977888923604e-05,3.0438473913818598e-05
100,2.0538687749649398e-05,3.066199133172631e-05
101,2.042988853645511e-05,3.1007635698188096e-05
